v_cam;altitude;tma_num;V_S;V_E;V_T;maps;year;location;azimuth;photo_dist;fl_length;month;day
"32";"25000";"2069";"278";"353";"76";N/A;"1967";queen_maud_land;8.63;1.73;129.73;"12";"5"
"32";"25000";"2057";"254";"359";"106";N/A;"1967";ronne_shelf;8.95;2.604;273.4;"12";"3"
"32";"25000";"2057";"254";"359";"106";N/A;"1967";queen_maud_land;8.95;2.604;273.4;"12";"3"
"32";"25000";"2062";"217";"277";"61";N/A;"1967";queen_maud_land;280;2.922;175.3;"12";"3"
"32";"25000";"2061";"146";"216";"71";N/A;"1967";ronne_shelf;101;2.521;176.46;"12";"3"
"32";"25000";"2061";"146";"216";"71";N/A;"1967";queen_maud_land;101;2.521;176.46;"12";"3"
"32";"25000";"2071";"392";"483";"92";N/A;"1967";ronne_shelf;101;1.903;173.13;"12";"8"
"32";"25000";"2071";"392";"483";"92";N/A;"1967";queen_maud_land;101;1.903;173.13;"12";"8"
"32";"25000";"2080";"189";"220";"32";N/A;"1968";ronne_shelf;104;2.264;70.186;"1";"4"
"32";"25000";"2055";"56";"184";"129";N/A;"1967";ronne_shelf;9.69;2.382;304.95;"12";"3"
"32";"25000";"2055";"56";"184";"129";N/A;"1967";queen_maud_land;9.69;2.382;304.95;"12";"3"
"32";"25000";"2056";"185";"253";"69";N/A;"1967";ronne_shelf;189;2.539;172.68;"12";"3"
"32";"25000";"2056";"185";"253";"69";N/A;"1967";queen_maud_land;189;2.539;172.68;"12";"3"
"32";"25000";"2070";"354";"391";"38";N/A;"1967";ronne_shelf;140;2.015;74.568;"12";"5"
"32";"23500";"2063";"278";"329";"52";N/A;"1967";ronne_shelf;231;1.785;91.024;"12";"5"
"32";"23500";"2063";"278";"329";"52";N/A;"1967";queen_maud_land;231;1.785;91.024;"12";"5"
"32";"25000";"2072";"1";"30";"30";N/A;"1967";ronne_shelf;231;2.874;83.348;"1";"12"
"32";"25000";"2072";"1";"30";"30";N/A;"1967";queen_maud_land;231;2.874;83.348;"1";"12"
"32";"25000";"2025";"1";"15";"15";N/A;"1967";ronne_shelf;353;5.238;73.339;"11";"5"
"32";"25000";"2077";"49";"94";"46";N/A;"1967";ronne_shelf;191;3.343;150.45;"1";"3"
"32";"25000";"2076";"1";"48";"48";N/A;"1967";ronne_shelf;10.5;3.759;176.66;"1";"3"
"32";"25000";"2059";"185";"253";"69";N/A;"1967";ronne_shelf;10.9;2.916;198.3;"12";"3"
"32";"25000";"2060";"72";"145";"74";N/A;"1967";ronne_shelf;191;2.577;188.08;"12";"3"
"32";"25000";"2079";"136";"188";"53";N/A;"1968";ronne_shelf;298;2.287;118.9;"1";"4"
"32";"25000";"2078";"95";"135";"41";N/A;"1967";ronne_shelf;98.4;2.966;118.63;"1";"3"
"32";;"2030";"234";"372";"139";N/A;"1967";central_antarctica_south_pole;159;2.755;380.18;"11";
"32";;"2030";"234";"372";"139";N/A;"1967";queen_maud_land;159;2.755;380.18;"11";
"32";"25000";"2046";"1";"62";"62";N/A;"1967";central_antarctica_south_pole;246;2.221;135.5;"12";"2"
"32";"25000";"2048";"1";"85";"85";N/A;"1967";central_antarctica_south_pole;329;2.696;226.45;"12";"2"
"32";"25000";"2048";"1";"85";"85";N/A;"1967";queen_maud_land;329;2.696;226.45;"12";"2"
"32";;"2066";"247";"474";"228";N/A;"1967";central_antarctica_south_pole;333;0.579;131.52;"12";"5"
"32";;"2066";"247";"474";"228";N/A;"1967";queen_maud_land;333;0.579;131.52;"12";"5"
"32";;"2073";"31";"145";"115";N/A;"1967";peninsula;287;2.687;306.28;"12";
"32";;"2074";"146";"233";"88";N/A;"1967";peninsula;103;3.531;307.2;"12";
"32";;"2075";"262";"368";"107";N/A;"1967";peninsula;279;2.413;255.75;"12";
"32";"25000";"1031";"1";"37";"37";N/A;"1962";marie_byrd_land;140;3.144;113.18;"11";"7"
"32";"25000";"1032";"38";"57";"20";N/A;"1962";marie_byrd_land;3.35;9.716;184.6;"11";"7"
"32";"23000";"2034";"60";"148";"89";N/A;"1967";peninsula;257;2.228;196.08;"11";"19"
"32";"23000";"2035";"149";"222";"74";N/A;"1967";peninsula;78.1;2.684;195.96;"11";"19"
"32";"23000";"2036";"223";"293";"71";N/A;"1967";peninsula;257;2.074;145.16;"11";"19"
"32";"23000";"2037";"1";"66";"66";N/A;"1967";peninsula;75.1;1.98;128.72;"11";"19"
"32";"26000";"2085";"1";"46";"46";N/A;"1968";peninsula;14.1;3.022;135.99;"1";"12"
"32";"23000";"2038";"67";"180";"114";N/A;"1967";peninsula;181;1.934;218.51;"11";"19"
"32";"25000";"2086";"47";"69";"23";N/A;"1968";peninsula;189;2.322;51.094;"1";"12"
"32";"25000";"2088";"97";"140";"44";N/A;"1968";peninsula;175;2.447;105.2;"1";"12"
"32";"25000";"2087";"70";"96";"27";N/A;"1968";peninsula;177;2.962;77.002;"1";"12"
"32";"25000";"1868";"267";"326";"60";N/A;"1966";marie_byrd_land;18.5;2.988;176.26;"11";"14"
"32";"25000";"1867";"199";"266";"68";N/A;"1966";marie_byrd_land;196;2.884;193.24;"11";"14"
"32";"25000";"1866";"154";"198";"45";N/A;"1966";marie_byrd_land;15.2;3.196;140.61;"11";"14"
"32";"25000";"1957";"1";"44";"44";N/A;"1966";marie_byrd_land;6.07;2.484;106.79;"11";"9"
"32";"25000";"1958";"45";"94";"50";N/A;"1966";marie_byrd_land;193;2.279;111.67;"11";"9"
"32";"25000";"1959";"95";"145";"51";N/A;"1966";marie_byrd_land;9.34;2.236;111.79;"11";"9"
"32";"25000";"1865";"1";"153";"153";N/A;"1966";marie_byrd_land;205;2.361;358.89;"11";"14"
"32";"25000";"1865";"1";"153";"153";N/A;"1966";ross_shelf;205;2.361;358.89;"11";"14"
"32";"25000";"1865";"1";"153";"153";N/A;"1966";transantarctic_mountains;205;2.361;358.89;"11";"14"
"32";"25000";"1973";"1";"150";"150";N/A;"1966";marie_byrd_land;25.6;2.444;364.18;"11";"13"
