# CoordinateSystem: PROJCS["WGS 84 / Antarctic Polar Stereographic",GEOGCS["WGS 84",DATUM["World Geodetic System 1984 ensemble",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]],PROJECTION["PolarStereographicB",AUTHORITY["EPSG","9829"]],PARAMETER["latitude_of_origin",-71],PARAMETER["central_meridian",0],PARAMETER["false_easting",0],PARAMETER["false_northing",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AUTHORITY["EPSG","3031"]]
#Label;Enable;X/Easting;Y/Northing;Z/Altitude;Yaw;Pitch;Roll;Accuracy_X/Y_(m);Accuracy_Z_(m);Accuracy_Yaw_(deg);Accuracy_Pitch/Roll_(deg);Error_(m);X_error;Y_error;Z_error;Error_(deg);Yaw_error;Pitch_error;Roll_error;X_est;Y_est;Z_est;Yaw_est;Pitch_est;Roll_est;X_var;Y_var;Z_var;Yaw_var;Pitch_var;Roll_var
CA213733R0071.tif;1;-2404175.862876;1231574.637617;4572.000000;87.925535;-60.000000;-30.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213733R0072.tif;1;-2402035.490660;1230574.224892;4572.000000;87.923720;-60.000000;-30.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213733R0073.tif;1;-2399895.118444;1229573.812166;4572.000000;87.921903;-60.000000;-30.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213733R0074.tif;1;-2397754.746228;1228573.399441;4572.000000;87.920082;-60.000000;-30.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213733R0075.tif;1;-2395614.374012;1227572.986715;4572.000000;87.918258;-60.000000;-30.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213733R0076.tif;1;-2393474.001796;1226572.573990;4572.000000;87.916431;-60.000000;-30.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213733R0077.tif;1;-2391333.629580;1225572.161264;4572.000000;87.914601;-60.000000;-30.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213733R0078.tif;1;-2389193.257364;1224571.748539;4572.000000;87.912767;-60.000000;-30.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213733R0079.tif;1;-2387052.885148;1223571.335814;4572.000000;87.910931;-60.000000;-30.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213832V0193.tif;1;-2399611.525060;1201129.549337;4572.000000;266.919668;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213832V0194.tif;1;-2402697.695130;1202472.409678;4572.000000;266.923518;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213832V0195.tif;1;-2405783.865199;1203815.270019;4572.000000;266.927359;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213832V0196.tif;1;-2408870.035268;1205158.130361;4572.000000;266.931191;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213832V0197.tif;1;-2411956.205338;1206500.990702;4572.000000;266.935013;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213832V0198.tif;1;-2415042.375407;1207843.851043;4572.000000;266.938825;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213832V0199.tif;1;-2418128.545476;1209186.711384;4572.000000;266.942628;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213832V0200.tif;1;-2421214.715546;1210529.571726;4572.000000;266.946421;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
CA213832V0201.tif;1;-2424300.885615;1211872.432067;4572.000000;266.950205;0.000000;0.000000;10000.000000;500.000000;60.000000;10.000000;;;;;;;;;;;;;;;;;;;;
